YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008_Re-election,Presidential First Round,Kintampo North,Brong Ahafo,,,"33,375",,"13,055",,,"20,320",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Kintampo South,Brong Ahafo,,,"24,350",,"10,575",,,"13,775",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Nkoranza North,Brong Ahafo,,,"18,414",,"9,543",,,"8,871",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Nkoranza South,Brong Ahafo,,,"34,577",,"16,299",,,"18,278",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Pru,Brong Ahafo,,,"35,199",,"10,951",,,"24,248",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Sene,Brong Ahafo,,,"28,808",,"8,007",,,"20,801",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Sunyani East,Brong Ahafo,,,"56,097",,"33,842",,,"22,255",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Sunyani West,Brong Ahafo,,,"39,357",,"22,367",,,"16,990",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Tain,Brong Ahafo,,,"21,601",,"2,035",,,"19,566",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Tano North,Brong Ahafo,,,"30,021",,"17,844",,,"12,177",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Tano South,Brong Ahafo,,,"29,797",,"16,883",,,"12,914",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Techiman North,Brong Ahafo,,,"26,518",,"13,420",,,"13,098",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Techiman South,Brong Ahafo,,,"58,224",,"25,950",,,"32,274",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Wenchi,Brong Ahafo,,,"34,848",,"18,476",,,"16,372",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Abura/Kwamankese,Central,,,"36,637",,"14,293",,,"22,344",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Agona East,Central,,,"30,560",,"14,702",,,"15,858",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
2008_Re-election,Presidential First Round,Agona West,Central,,,"45,259",,"23,156",,,"22,103",,,,,,,,,,,,,,,,,,,,,,,,,,Nana A. Akuffo-Addo,,,John E. Atta-Mills,,,,,,,,,,,,,,,,,,,,,,,,,
