District,Region,Constituency,Total Pop,Percent Male,Percent Female,Percent Age 18-29,Percent Age 30-49,Percent Age 50-64,Percent Age 65 and Above,Percent Edu-Basic,Percent Edu-Secondary,Percent Edu-Tertiary,Percent No Formal,Percent Literate,Percent Non-Literate,Percent Urban,Percent Rural,Percent Employed,Percent Unemployed,Percent Economically Active,Percent Akan,Percent Ga-Dangme,Percent Ewe,Percent Guan,Percent Gurma,Percent Mole-Dagbani,Percent Grusi,Percent Mande,Percent Others,Percent Christian,Percent Islam,Percent Traditionalist,Percent Other Religion,Percent No Religion
Sunyani West Municipal,Brong Ahafo,Sunyani West,135830,49.4,50.6,25.7,23.5,7.8,4.2,59.8,25.5,14.7,0,78.4,21.6,62.1,57.6,83.4,16.6,53.1,75,0.9,1.9,0.3,0.9,16.9,2.2,0.7,1.2,86.1,7.8,0.3,1.2,4.7
Berekum East Municipal,Brong Ahafo,Berekum East,106002,47.2,52.8,24.7,23.7,8.5,4.7,61.6,28.6,9.6,0.1,84.6,15.4,61.8,59.5,84.9,15.1,57.5,90.3,0.4,1,0.4,0.4,5.1,1.2,0.5,0.7,86.7,6.7,0.1,2.5,4
Berekum West,Brong Ahafo,Berekum West,49453,47.7,52.3,21.7,23.4,9.2,5.5,67.2,24.6,8.2,0,75.3,24.7,63,58.2,84.9,15.1,58.2,89.9,0.7,0.3,0.1,1.5,4.6,1.2,0.4,1.2,92.6,3.7,0.1,0.5,3.1
Jaman South Municipal,Brong Ahafo,Jaman South,108147,48.5,51.5,21.7,22.4,8.9,4.9,72.1,21.6,6.3,0,73.5,26.5,60.1,56.6,87.5,12.5,57.8,91.1,0.1,0.6,0.1,1.3,4.8,1,0.5,0.5,84.9,10.5,0.2,1.2,3.3
Jaman North,Brong Ahafo,Jaman North,117429,49.7,50.3,23.5,22.1,7.4,4.5,68.1,24.4,7.5,0.1,72.3,27.7,57.7,57.3,86.4,13.6,56.3,88.3,0.1,0.2,0.1,0.3,2.3,2.1,6.2,0.4,82.9,12.8,0.4,1.6,2.4
Tain,Brong Ahafo,Tain,115408,50.5,49.5,22.1,22.1,7.9,4.8,75.4,19.3,5.3,0,61.7,38.3,58.5,55.1,89.4,10.6,59.7,57.3,0.2,0.3,0.2,0.8,21.7,1.1,16.9,1.6,73.7,15.9,1.4,1.3,7.7
Wenchi Municipal,Brong Ahafo,Wenchi,124385,48.9,51.1,22.5,21.6,7.5,4.5,72.3,20.5,7.1,0,63.7,36.3,58.6,53.3,88.2,11.8,56.2,42.7,0.2,0.9,0.7,1,38.9,4.2,8.8,2.6,68,23.7,3.1,0.5,4.6
Banda,Brong Ahafo,Banda Ahenkro,28175,52.6,47.4,20.8,23.1,8.2,4.8,77.2,16.5,6.2,0.1,55.7,44.3,0,56.8,82.9,17.1,52.6,19.3,1.4,8.6,0.6,0.3,9.1,2.7,57.8,0.2,72.2,18.9,1.1,2.6,5.2
Nkoranza South Municipal,Bono East,Nkoranza South,114326,49.8,50.2,22.3,22,8.2,4.2,73,20.7,6.3,0,68.6,31.4,59.3,53.4,88.1,11.9,60.6,60.7,0.2,0.6,0.4,4.4,27.4,4.4,1.1,0.7,76.9,9.9,1.9,3.8,7.5
Techiman Municipal,Bono East,Techiman South,242101,48.7,51.3,23.6,24.4,7.1,3.4,67.4,23.8,8.7,0.1,74.3,25.7,59.3,56,88.5,11.5,64.5,50.5,0.5,1.8,2.6,3.2,27.2,6.5,4.8,3.1,66.6,29,0.3,1,3.1
Nkoranza North,Bono East,Nkoranza North,56452,50.9,49.1,20.7,21.1,9,5.4,76.9,18.9,4.3,0,62,38,57.2,55.9,91.8,8.2,57.9,61.4,0.1,0.2,0.5,6,26.3,3.8,1.2,0.5,75,12.7,2.8,0.4,9.1
Techiman North,Bono East,Techiman North,102443,49,51,23.8,22.9,7.3,4,71,22.5,6.5,0,71.3,28.7,58,57.7,88.2,11.8,59,57.7,0.2,1.3,1.7,2,28.6,5.1,2.3,1.2,71.7,19.8,0.7,1.7,6.1
Atebubu Amantin Municipal,Bono East,Atebubu Amantin,144480,50.4,49.6,23.6,20.8,5.5,3,74.9,19.2,5.9,0,54,46,54.8,50.5,89.2,10.8,61.9,26.7,0.2,1,3.1,36.6,21.1,3.6,5.4,2.3,54.3,32.2,4.1,1.2,8.1
Sene West,Bono East,Sene West,69755,50.8,49.2,21.6,22.2,6.7,2.4,76.8,17.7,5.5,0,47,53,57.2,52.7,93,7,66,6.6,0.8,7.9,51.4,16.4,11.9,1.9,1.5,1.7,52.5,17.2,8.4,4.4,17.5
Sene East,Bono East,Sene East,72023,53.3,46.7,20.8,20.8,6.2,2.7,80.3,15.6,4.1,0,42.8,57.2,56.4,49.9,87.7,12.3,64.4,8,14.5,28.3,15.8,26.9,2.6,1.1,1.6,1.2,69.3,7.4,9.4,4.5,9.4
Pru West,Bono East,Pru West,69342,51,49,23.5,20.1,6.1,3.5,76.2,18.8,5,0,48.7,51.3,53.7,52.8,91.9,8.1,60.8,27.8,0.1,1.5,6.6,42.5,13.5,1.9,3.4,2.6,54.1,18.9,13.3,1.6,12.1
Pru East,Bono East,Pru East,100469,50.5,49.5,23.7,20.7,6,2.6,74.1,20.1,5.7,0.1,50.7,49.3,54.2,49.8,87.9,12.1,63.6,9.9,5.7,21.1,28,18.7,7.6,1.1,4.8,3.1,56.3,26.9,6.3,1.2,9.3
Kintampo South,Bono East,Kintampo South,89070,51,49,21.2,21.2,7.8,4.6,78.9,16.4,4.6,0.1,55.6,44.4,58.5,54.1,89.3,10.7,60.1,33.4,0.2,0.4,1.2,13.2,36.4,11.5,3.4,0.4,66.1,19.5,3.1,1.9,9.4
Kintampo North Municipal,Bono East,Kintampo North,139325,49.8,50.2,24,20.9,6.3,3.8,69.8,21.7,8.4,0.1,55.1,44.9,57.3,51.8,85.9,14.1,54.2,14.3,0.4,1.9,13.2,18.4,19.1,20.4,10.7,1.5,49.9,42.2,2.5,1.4,4.1
Biakoye,Oti,Biakoye,71610,50.3,49.7,18.3,21.3,10.2,5.9,79.4,16.3,4.2,0.1,69.9,30.1,54.7,56.1,91.7,8.3,64.3,15,5,42,25.6,6.8,1.3,0.3,0.4,3.6,78.6,11.2,2.9,2.9,4.3
Jasikan Municipal,Oti,Buem,59565,51,49,20.5,22.8,10.1,6.1,71.4,21,7.4,0.1,76.4,23.6,61.8,58.7,93.4,6.6,60,4.6,0.9,30.5,43.1,16.4,1.5,0.2,0.3,2.4,77.8,19.2,0.7,0.8,1.5
Kadjebi,Oti,Akan,73804,51.2,48.8,20,22.3,8.7,5.3,78.3,16.7,4.8,0.2,71.2,28.8,57,56,93.5,6.5,62.4,12.8,1.4,41.9,4.5,34.5,1.9,0.3,0.2,2.5,65.9,31.1,0.9,0.2,2
Krachi East Municipal,Oti,Krachi East,109125,51.1,48.9,21.7,20.7,6.3,3.2,78.1,16.2,5.6,0,51.8,48.2,56.7,49.8,94.2,5.8,63.7,9.6,7.3,26.3,13.3,37.4,1.2,0.5,1.6,2.8,65.9,10.9,8.5,3.5,11.1
Krachi West Municipal,Oti,Krachi West,60954,51.1,48.9,22,22.1,7.3,3.9,72,21.5,6.5,0,56.4,43.6,62.2,53.2,89.5,10.5,60.4,4.8,8.2,15,40.6,22.3,1.1,0.8,1.3,5.9,68.9,11.1,8.4,2.7,9
Krachi Nchumuru,Oti,Krachi Nchumuru,79765,50.5,49.5,20.7,19.2,6.7,3.9,80.1,15.7,4.2,0,46.9,53.1,53.5,49.1,96.3,3.7,65.3,3.5,2.1,8.1,22,58.9,0.7,0.2,1.3,3.2,60.4,8.9,17.1,0.3,13.1
Nkwanta South Municipal,Oti,Nkwanta South,135548,50.2,49.8,20.3,20.8,6.6,3.7,76.3,18.3,5.4,0.1,50.4,49.6,56.9,49.2,94.5,5.5,63,4.3,0.6,11.7,17.9,62.2,1,0.4,0.5,1.4,61.5,9.7,17.1,0.9,10.7
Nkwanta North,Oti,Nkwanta North,125878,49.7,50.3,21.9,18.6,4.8,2.7,77,18.3,4.6,0.1,34.9,65.1,500.3,45.3,91.6,8.4,63.1,2.5,0.2,6.1,1,87.2,0.5,0.1,0.8,1.7,41.5,11.9,31.5,1,14.1
Guan,Oti,Guan,28234,51.2,48.8,16.9,20.9,13.2,10.4,74.1,21.4,4.5,0,84.8,15.2,0,61.4,94.1,5.9,56.2,1.7,0.5,12.1,81.5,2.5,0.5,0.2,0.2,0.8,90.8,5.3,2,0.5,1.4
Kpandai,Northern,Kpandai,126101,49.8,50.2,21.9,18.7,5.2,3,76.7,18.4,4.9,0,41.1,58.9,54.8,47.7,92.1,7.9,63.7,2.8,1.4,6.2,12.9,73.2,1.2,0.1,1,1.2,51.3,8.7,21.5,2.2,16.4
Nanumba South,Northern,Wulensi,106317,49.4,50.6,20.7,17.7,4.2,2.9,76.8,19.8,3.5,0,32,68,50.9,44,95.4,4.6,57.9,0.7,0,1.8,0.9,69.9,24.9,0.1,1.3,0.5,21.3,28,40.1,0.6,10
Nanumba North Municipal,Northern,Bimbilla,188395,48.9,51.1,21.6,18.5,4.7,2.8,69.2,23.7,7,0,35.8,64.2,53.4,45.1,91.6,8.4,59,2.2,0,0.4,0.3,66.2,28.7,0.1,1.8,0.3,22.6,32.1,35.8,0.5,9
Zabzugu,Northern,Zabzugu,82612,49.4,50.6,20.9,19,4.6,2.8,75.6,18.6,5.8,0,29.8,70.2,52,45.7,85.5,14.5,52.9,0.4,0,1.2,0.1,55,40.2,0.1,2,0.9,22.4,44.4,26.6,0.3,6.4
Tatale Sanguli,Northern,Tatale Sanguli,74373,49.5,50.5,21.3,18.1,4.8,3.5,78.1,17.2,4.7,0,33.6,66.4,55.4,46.4,93,7,56.2,0.7,0,0.2,0.1,94.9,0.9,0.1,2,1.2,43,7.4,43.6,0,6
Saboba,Northern,Saboba,95554,49.3,50.7,23.7,17.2,4.5,2.8,69.4,23.1,7.5,0.1,48.2,51.8,56.6,47.2,90.9,9.1,48.4,2.6,0,0.9,0.1,91.7,2.7,0.1,1.5,0.4,58.3,10.8,23.8,1.1,6
Yendi Municipal,Northern,Yendi,154068,49.3,50.7,22.2,19.6,5.3,3.8,68.1,24,7.8,0.1,46.7,53.3,55.6,46.1,82.7,17.3,48.4,1.2,0.1,0.5,0.4,32.3,63.2,0.2,1.8,0.3,18.4,67.2,10.1,0.4,3.9
Mion,Northern,Mion,94913,49.7,50.3,20.5,18.5,4.9,3.1,81.1,14.5,4.3,0.1,24.4,75.6,51,46.5,90.9,9.1,52.6,0.6,0,0,0,46.9,46.2,0,6.1,0.1,23.6,57.1,16.1,0.2,3
Nanton,Northern,Nanton,50720,49.7,50.3,19.3,20.2,5.8,3.4,82.9,13.2,3.8,0.1,30.4,69.6,48.2,48.9,86.8,13.2,51.6,0.5,0,0,0,0.1,95.6,0.2,3.4,0.1,1.2,98.7,0,0,0
Tamale Metropolitan Area (TMA),Northern,Tamale South/Tamale Central/Tatale Sanguli,373469,49.4,50.6,0,0,0,0,62.7,23.1,14.1,0.2,62.2,37.8,0,0,83,17,55.3,2.7,0.3,0.9,3,1.1,88.7,1.2,0.7,1.5,7.5,92.2,0.1,0.1,0.1
TMA0Tamale South,Northern,Tamale South,246528,49.7,50.3,24.7,21.9,5,3,64.2,21.1,14.5,0.2,57.6,42.4,54.6,0,82.5,17.5,54.3,2.4,0.2,0.8,3.6,0.9,89.2,1,0.9,1,7.1,92.5,0.1,0.1,0.1
TMA0Tamale Central,Northern,Tamale Central,126941,48.8,51.2,22.2,24.7,7,4.1,60.2,26.2,13.5,0.1,70.8,29.2,58,0,83.9,16.1,57.2,3.2,0.4,1.2,1.8,1.5,87.6,1.5,0.4,2.4,8.4,91.4,0,0.1,0.1
Sagnarigu Municipal,Northern,Sagnarigu,341132,49.8,50.2,23.6,23.4,5.4,2.9,56.2,24.7,18.9,0.1,69.1,30.9,56.3,50.9,78.9,21.1,52.3,3.1,0.4,1.4,2.5,2.2,86.8,2.2,0.5,0.9,15,84.7,0.1,0.2,0.1
Tolon,Northern,Tolon,118002,49.5,50.5,21.4,19.2,5.7,3.8,70.6,19,10.4,0.1,30,70,55.6,48.7,80.1,19.9,41.3,1.3,0.1,0.4,0.2,0.1,96.8,0.2,0.7,0.2,3,96,0.5,0.1,0.4
Kumbungu,Northern,Kumbungu,110397,50,50,20.3,19,5.6,4.1,74.9,18.8,6.1,0.2,36.6,63.4,52,48,79.6,20.4,41.9,0.5,0,0.6,0.1,0.5,97.2,0.3,0.8,0.4,2.9,96.7,0.3,0.1,0.1
Savelugu Municipal,Northern,Savelugu,122756,49.2,50.8,21,20.3,5.4,3.6,73.2,20.2,6.5,0,40.2,59.8,51.5,48.4,81.7,18.3,40.2,1.1,0.1,0.7,0.2,18.7,93.4,0.9,2.7,0.5,4,95.7,0.2,0.1,0.1
Karaga,Northern,Karaga,114170,48.7,51.3,20.5,18.7,4.9,3,78.3,16.4,5.2,0.1,20.6,79.4,50.7,45.9,90.5,9.5,47.5,0.6,0,0,0,41.4,75.3,0.2,4.7,0.3,11.2,83.9,3.3,0.1,1.5
Gushegu Municipal,Northern,Gushegu,153829,49,51,19.7,18.5,4.7,2.6,74.4,19.7,5.9,0,21.8,57.6,52.3,43.4,88.3,11.7,52.7,0.5,0,0.1,0.1,0.1,53.9,0.1,3.9,0.1,18.3,68.4,9.9,0.3,3.1
Bole,Savannah,Bole,115657,51.7,48.3,25.9,22.4,4.9,3.1,69.9,22.4,7.6,0.1,42.3,57.7,57.9,55.5,74.1,25.9,52.2,2.8,0.2,3.1,27.5,3.6,45.2,10.4,6.1,1.1,41.1,50.3,5.3,0.3,3
Sawla Tuna Kalba,Savannah,Sawla Tuna Kalba,112510,47.1,52.9,20.2,18.6,7.6,5.1,75.3,18.2,6.4,0.1,31.3,68.7,57.7,50,81.6,18.4,42.4,1.1,0,0.2,7.2,0.6,80.8,7.6,2.1,0.4,52.1,23.9,14.7,1.6,7.7
North Gonja,Savannah,Daboya0Mankarigu,61425,50.1,49.9,23,17.9,4.5,2.9,69.9,23.3,6.7,0.1,25.4,74.6,52.4,46.6,84.2,15.8,43.2,1.8,0.1,0.8,26.7,0.1,24.3,43.1,2.8,0.6,19.2,77.3,0.7,1.5,1.3
West Gonja Municipal,Savannah,Damango,63310,50.9,49.1,25.6,20.2,5.6,3.2,63,26.4,10.6,0,55.8,44.2,56.4,51.9,71.2,28.8,37.2,2,0.2,0.4,55.3,1.5,19.1,3,4.2,14.4,18,80,0.8,0.2,1
Central Gonja,Savannah,Yapei0Kusawgu,142648,50.2,49.8,21.9,18.7,4.7,2.6,72.8,20.1,7,0,28.7,71.3,50.6,46.7,72.5,27.5,43.5,3.7,0.7,8.1,61.1,0.5,14.6,0.6,9.2,1.6,11.6,86.8,0.5,0.2,0.9
East Gonja Municipal,Savannah,Salaga South,117639,51.1,48.9,23.6,20.2,5.5,3,70.2,22.4,7.4,0,39.7,60.3,57.8,50.1,82.6,17.4,55.3,8.6,2.4,10.2,44.3,18,9.1,0.6,4.2,2.6,30.9,62.7,3.6,0.7,2.2
North East Gonja,Savannah,Salaga North,39383,50.5,49.5,19.7,20,5.3,2.7,82.5,13.9,3.6,0,21,79,0,47.8,78.1,21.9,53.4,4,0,0.7,55.1,0.8,24.1,0.2,13.6,1.6,3.2,95.7,0.5,0.2,0.4
Mamprugu Moagduri,North East,Yagaba0Kubori,68729,49.5,50.5,22,17.6,5.2,3.2,80.2,16.4,3.5,0,25.3,74.7,48.2,48,84,16,69.4,0.6,0,0,0,0.1,94.5,1.2,2.7,0.9,10.8,84.3,2.8,0.2,2
West Mamprusi Municipal,North East,Walewale,175374,48.8,51.2,21.9,18.7,5.2,3.2,72.3,21.5,6.1,0,44,56,51.2,47,75.4,24.6,42.6,1,0.1,0,0.2,0.9,87.5,51,4.2,0.6,14.9,82.8,1.1,0.2,1
East Mamprusi Municipal,North East,Nalerigu,187725,48.5,51.5,21.8,17.6,4.7,3.6,70.5,21.6,7.9,0.1,37.4,62.6,51.4,44.9,69.4,30.6,38.5,1.1,0,0,0.5,23.9,62.8,3.7,6.3,1.5,29.5,63.8,4.8,0.2,1.7
Bunkpurugu Nakpanduri,North East,Bunkpurugu,82093,49.1,50.9,24.5,18.9,6.2,5.4,63.3,29.9,6.7,0.1,59.2,40.8,58.3,53.7,85,15,38.8,1.1,0,0,0.1,86.1,10.3,0.1,1.7,0.5,74.6,13.3,8.6,1,2.6
Yunyoo Nasuan,North East,Yunyoo,56879,49.3,50.7,19.8,16.6,4.7,4.2,78.7,16.6,4.7,0,29.6,70.4,0,45.3,89.9,10.1,39.6,0.7,0,0,0,88.5,7.7,0.1,2.4,0.5,58.2,19.8,19.4,0.6,2
Chereponi,North East,Chereponi,87033,49.2,50.8,21.6,16.7,4.6,2.6,77.5,17.2,5.2,0,31.1,68.9,54.9,43.7,88.4,11.6,45.4,65.5,0,0,0.1,27.1,0.7,0.1,4,1.2,22.6,66,10.2,0.3,0.9
Builsa South,Upper East,Builsa South,36517,50.1,49.9,21.2,20.7,7.8,5.9,75.4,18.9,5.6,0,42.4,57.6,62.3,54.4,80.4,19.6,37.8,0.8,0.1,0.1,0.1,0,94.7,0.6,3,0.6,53.6,8.4,33.4,2.5,2.2
Builsa North Municipal,Upper East,Builsa North,56402,50.1,49.9,21.6,21.1,8.3,7.3,69.1,23.4,7.4,0.1,55.1,44.9,60.4,58.1,80.9,19.1,43.1,0.8,0.1,0.2,0.1,0.3,96,2.2,0.2,0.1,69.9,5.1,19.9,2.2,2.9
Kasena Nankana Municipal,Upper East,Navrongo Central,99815,48.7,51.3,23.8,22.2,8.4,6,62.4,24.6,13,0,64.4,35.6,63.3,59.3,81.3,18.7,42.3,1.9,0.2,0.5,0.2,0.3,6.6,89.6,0.2,0.5,71.5,7.3,14.5,1.6,5.2
Kasena Nankana West,Upper East,Chiana0Paga,90643,48.4,51.6,21.1,20.7,7.7,7.7,73.7,20.3,6,0.1,54,46,58.6,56.7,78.9,21.1,32.9,0.8,0.1,0.1,0.1,0.1,9,89.5,0.3,0.2,59.8,11.6,23.1,1.7,3.8
Bolgatanga Municipal,Upper East,Bolgatanga Central,138999,47.6,52.4,23.2,24.5,7.4,4.3,60.8,24.6,14.6,0.1,68.4,31.6,60.5,57.4,82.8,17.2,53.7,3,0.3,0.9,0.4,0.8,87.1,5.5,0.6,1.4,68,18,11.1,0.6,2.4
Talensi,Upper East,Talensi,86968,50.4,49.6,22.5,20,7.6,5.8,75.5,20,4.5,0.1,51,49,59.4,55.4,78.2,21.8,35.5,1,0,0.2,0,0.2,96.9,1.1,0.2,0.3,56.9,6.1,31.6,1.4,3.9
Bolgatanga East,Upper East,Bolgatanga East,38769,48.5,51.5,22,23.1,7.8,5.9,66.6,24.1,9.3,0,63.4,36.6,61.5,57.7,81.4,18.6,47.5,1.5,0.2,0.3,0.1,0.3,93.4,3.8,0.2,0.3,66.1,0.5,20.7,0.3,3.4
Bongo,Upper East,Bongo,120092,47.3,52.7,22,19.6,7.4,6.6,76.1,18.8,5.1,0,50.1,49.9,60.2,55.3,78.9,21.1,29.4,0.8,0,0,0,0,95.8,3.2,0,0,59.4,8.4,28.7,0.8,2.7
Nabdam,Upper East,Nabdam,51768,49.3,50.7,24.5,21.1,7.2,5.3,74.4,19.4,6.2,0,46.9,53.1,0,58.2,54.1,45.9,28.8,2.1,0,0,0,0,96.6,1.2,0,0,52.8,2.6,41.2,0.1,3.4
Bawku West,Upper East,Zebilla,144014,49.1,50.9,21.9,18.6,6.2,5.8,77.5,16.6,5.8,0.1,40.5,59.5,55.8,51.7,81.6,18.4,43.4,0.9,0.9,0.1,0,0.3,88.9,0.9,7.8,1.1,46.5,25.4,24.9,1.2,3.4
Binduri,Upper East,Binduri,76623,48.2,51.8,20.9,17.7,7.3,7.3,77.7,17.1,5.1,0,40.3,59.7,0,53.3,71.6,28.4,41.5,0.8,0,0.1,0,0.3,88.2,0.4,10,0.2,43.8,42.9,10.7,0.7,2
Bawku Municipal,Upper East,Bawku Central,118963,48.6,51.4,20.8,21.1,7.3,5.7,71.2,21.1,7.6,0.1,52.3,47.7,56.4,51.9,80.4,19.6,52.6,1.4,0,0.2,0.2,1.1,74.5,1.2,17.1,4.1,14.1,83.8,1.6,0.3,1.9
Garu,Upper East,Garu,71668,48,52,19.9,17.4,6.9,8.1,77.7,15.6,6.7,0,41.9,58.1,55.2,51.8,78.7,21.3,46.3,1,0.1,0.1,0,21.5,68.3,0.3,8.2,0.6,44.6,43.6,9.2,1.1,0.2
Tempane,Upper East,Tempane,86848,47.4,52.6,19,17.7,7.3,7.8,79,14.9,6.1,0.1,37,40.3,54.7,51.3,76.4,23.6,41,0.5,0,0,0,27.5,56.3,0.7,14.7,0.3,37.8,52,8.3,0.7,1.5
Pusiga,Upper East,Pusiga,80090,48.1,51.9,20.2,18.3,6.4,6.2,80.1,12.9,7,0,34.1,65.9,52.8,50.3,76.3,23.7,45,0.6,0,0.1,0,3.1,63,2.2,30.1,0.7,8.8,88,3,0.1,1.2
Wa West,Upper West,Wa West,96917,47.3,52.7,19.5,18,7.6,6.3,81,13.7,5.2,0.1,35.3,64.7,0,51.4,86.8,13.2,37.6,0.4,0,0.1,0.1,0,97.5,0.3,1.4,0.2,49.5,28.1,14.4,1.3,6.7
Wa East,Upper West,Wa East,91430,51,49,22.6,19.6,6.1,4.3,79,14.8,6.1,0.1,31.4,68.6,54,52.5,85.9,14.1,52,0.9,0,0,1.2,0.9,66.8,27.6,2.4,0.2,25.9,67.2,4.5,0.5,1.9
Wa Municipal,Upper West,Wa Central,199562,49.1,50.9,26,22.5,6.2,3.6,57.8,23.7,18.4,0.1,70,30,60.2,53.7,85.2,14.8,50.6,2.8,0.3,0.6,1,0.4,91.6,1.8,0.8,0.7,29.5,69.5,0.5,0.2,0.3
Nadowli Kaleo,Upper West,Nadowli Kaleo,76832,48,52,22.4,18.7,8.2,7.2,72.5,19.9,7.6,0.1,50.7,49.3,60.8,55.5,83.8,16.2,40.7,0.9,0.1,0.1,0.1,0.1,98.1,0.3,0.3,0.1,75.2,14.2,6.8,0.7,3
Daffiama Bussie Issa,Upper West,Daffiama Bussie Issa,38730,48.8,51.2,22.1,18.9,7.7,6.4,76.8,17.3,5.8,0,37.1,62.9,61.2,54.2,92.9,7.1,45.7,0.6,0.1,0.1,0,0,82.3,16.2,0.6,0.1,56.7,38.2,4.1,0.2,0.9
Sissala East Municipal,Upper West,Sissala East,80432,49.5,50.5,24.1,21,6,4.1,67.5,22,10.4,0.1,46.8,53.2,61.6,53.2,88.2,11.8,54.6,1.7,0.1,0.2,0.2,0.1,6.9,88.2,2.4,0.3,9.4,89.3,1,0.1,0.2
Sissala West,Upper West,Sissala West,63776,49.4,50.6,22.1,19.4,6,4.8,77.7,16,6.2,0.1,42.8,57.2,57.4,51.6,84.8,15.2,47.6,0.9,0.1,0.1,0.1,0.1,22.9,72.9,2.9,0.1,18.9,75.5,4.9,0,0.6
Jirapa Municipal,Upper West,Jirapa,91084,47.2,52.8,23.1,19.2,7.6,6.3,72.9,19.1,7.9,0.1,45.9,54.1,60.5,55.1,82.1,17.9,32.2,0.9,0.1,0.2,0.1,0.1,97.2,0.6,0.8,0.1,74.5,10.7,10.4,0.5,3.9
Lawra Municipal,Upper West,Lawra,58192,48.5,51.5,21.8,20.2,8.7,7,70.4,22.5,7.1,0.1,48.9,51.1,63.8,56.5,82.2,17.8,41.4,1.3,0.1,0.3,0.1,0.1,97.1,0.6,0.2,0.3,72.1,8.5,12.9,1,5.5
Lambussie Karni,Upper West,Lambussie,50976,49,51,20.8,18.9,7.5,5.7,76.1,17.8,6,0.1,43.8,56.2,56.3,52.3,89.8,10.2,39.2,0.9,0.1,0.1,0.1,0.1,65.8,29.3,3.1,0.6,54.1,31.3,13.2,0.2,1.3
Nandom Municipal,Upper West,Nandom,51039,49.9,50.1,20.5,21.2,9.8,7.2,71.2,21,7.8,0.1,52.1,47.9,61.9,58.2,82.9,17.1,43.6,0.9,0.9,0.2,0.1,0.1,96.8,0.6,0.4,0.2,90.2,5.7,3.9,0.1,0.1
