YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008,Parliament,Effia Kwesimintim,Western,89427,57124,56399,,27998,,561,13957,,,12996,,,,,,,,,,,,,,,,,,,704,,,,Hon. Joe Baidoe-Ansah,,Barnabas Impraim,Ambrose Sessah Ankrah,,,Jospeh Abekah,,,,,,,,,,,,,,,,,,,Philip Buckman,,,
2008,Parliament,Ellembele,Western,48426,35302,29712,,,,,14077,,,12428,,,,,,,,,,,,,,,,,,,2918,168,121,,,,,Emmanuel Armah-Kofi Buah,,,Freddie Blay,,,,,,,,,,,,,,,,,,,Maxwell Amuah Essien,Mathias Boateng,Kodwoe Yankson,
2008,Parliament,Esikadu/Ketan,Western,50517,33376,32912,,19994,,272,11332,,,1314,,,,,,,,,,,,,,,,,,,,,,,Hon. Joe Ghartey,,Emmanuel Victor Grayham,Victor Henry Abbey-Hart,,,John Eghan,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Evalue Gwira,Western,32183,20723,20179,,11641,,,6224,,,2314,,,,,,,,,,,,,,,,,,,,,,,Catherine Abelema Afeku,,,Peter Arde-Kodwo,,,Kojo Armah,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Jomoro,Western,66369,40316,39826,,6345,,220,13345,,,19916,,,,,,,,,,,,,,,,,,,,,,,Martin Nyameke Ackah,,Jemaima Soboe,Lee Ocran,,,Samia Yaba Christina Nkrumah,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Juaboso,Western,71788,47026,46123,,13098,,679,30717,,,1629,,,,,,,,,,,,,,,,,,,,,,,Ahi John,,Ayagibah Isaac,Sampson Ahi,,,Boadi Francis,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Mpohor Wassa,Western,57385,38874,37936,,16014,,,14503,,,7419,,,,,,,,,,,,,,,,,,,,,,,Anthony Evans Amoah,,,Anthony Bassaw,,,Mary Ankomah,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Prestea/Huni-Valley,Western,79792,53642,52815,,18077,,,21887,706,314,11552,,,,,,,,,,,,,,,,,,,279,,,,Albert Kwaku Obbin,,,Francis Adu-Blay Koffie,Charles Kojo Adu-Fordjour,Edwin Asare,Mubashir Tamimu Dari,,,,,,,,,,,,,,,,,,,Osei Kuffour Omooyey,,,
2008,Parliament,Sefwi Akontombra,Western,33044,23841,23492,,10470,,,12786,236,,,,,,,,,,,,,,,,,,,,,,,,,Appiah-Kubi Baidoo,,,Herod Cobbina,Kwaku Duah,,,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Sefwi Wiawso,Western,58302,46230,45229,,22156,,,22556,,,517,,,,,,,,,,,,,,,,,,,,,,,Kwaku Afriyie,,,Evans Paul Aidoo,,,Kingsley Sarfo-Nyamekye,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Sekondi,Western,37589,23672,23470,,13005,,88,9578,72,,727,,,,,,,,,,,,,,,,,,,,,,,Papa Owusu-Ankomah,,Frederick Akor Larbi,Betty Bosumtwi-Sam,Oliver Peter Vanderpuye-Orgle,,Mrs Hildergard Krakue,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Shama,Western,42735,30142,29652,,13702,,254,14508,,,1126,,,,,,,,62,,,,,,,,,,,,,,,Angelina Baiden Amissah,,Francis Nana Akorligah M. Kwofie,Gabriel Kodwo Essilfie,,,Francis Ainoo,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Suaman,Western,16953,10118,9956,,4435,,123,5193,,,205,,,,,,,,,,,,,,,,,,,,,,,Eric Theophilus Tandoh,,,Smek Ackah,,,Affum Sylvester,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Takoradi,Western,56576,38831,38559,,22704,,,11661,,,3851,,,,,,,,,,,,,,,,,,,343,,,,Kwabena Okyere Darko-Mensah,,Daniel Tetteh,Kobina Prah Annan,,,Eustace Kwesi Gyakyi Haizel,,,,,,,,,,,,,,,,,,,Godwill Abakah,,,
